,price_tnd,Area,room,bathroom,state,latt,long,distance_to_capital,garage,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
160,550000.0,1100.0,8.0,3.0,1.0,36.954444,10.191389,16.228614774176,1,0,0,0,0,0,0,0,0,0
161,19000000.0,1021.0,7.0,4.0,1.0,35.65,10.9,149.554281425723,1,1,0,0,1,0,0,1,1,1
162,4000000.0,1000.0,11.0,7.0,1.0,36.8316382,10.1641474,3.36045988098661,1,0,0,0,1,0,0,0,1,1
163,3000000.0,1000.0,6.0,4.0,2.0,36.4391331020389,10.7014408177673,70.4016892781458,1,0,0,0,1,0,0,1,1,1
164,2750000.0,1000.0,5.0,3.0,1.0,36.8256005,10.1784327,2.11808436783851,0,0,0,0,0,0,0,0,0,0
165,1450000.0,1000.0,5.0,5.0,1.0,36.845235,10.164723,4.6317218774898,1,0,0,0,0,0,0,1,1,1
166,2900000.0,966.0,6.0,6.0,1.0,36.845235,10.164723,4.6317218774898,1,0,0,0,0,0,0,0,1,1
167,890000.0,960.0,4.0,4.0,1.0,34.77064,10.719365,230.51475345782,1,1,0,1,0,0,0,1,1,1
169,2650000.0,790.0,7.0,6.0,1.0,36.40108,10.61457,65.4597220191691,1,0,0,0,1,0,0,1,1,1
170,2000000.0,780.0,10.0,6.0,2.0,36.8886935712815,10.1624400830841,9.24213767273838,1,0,0,0,1,0,0,1,1,1
171,980000.0,750.0,8.0,4.0,2.0,36.8567806,10.1157421,9.15165203481795,1,0,0,0,0,0,0,1,1,1
172,950000.0,750.0,8.0,4.0,1.0,36.89147,10.16262,9.53373908202624,1,0,1,1,0,0,0,0,0,0
174,660000.0,730.0,8.0,3.0,1.0,36.763943,10.28607,12.5255127830913,1,0,0,0,0,0,0,0,0,0
175,2900000.0,700.0,7.0,6.0,1.0,36.8566,10.3258,16.956028959712,1,0,0,0,1,0,0,1,1,1
176,1050000.0,650.0,7.0,4.0,1.0,36.8482637,10.1410889,6.40986136903085,1,0,0,0,0,0,0,0,1,0
177,1000000.0,650.0,8.0,2.0,1.0,36.81881,10.16596,2.19113226059161,0,0,0,0,0,0,0,1,0,0
